Year,Area of residence,Value
2010,,
2010,Urban,
2010,Rural,
2011,,
2011,Urban,
2011,Rural,
2012,,
2012,Urban,
2012,Rural,
2013,,
2013,Urban,
2013,Rural,
2014,,
2014,Urban,
2014,Rural,
2015,,97.4
2015,Urban,97.9
2015,Rural,97.2
2016,,98.6
2016,Urban,99.1
2016,Rural,98.5
2017,,99.3
2017,Urban,100.0
2017,Rural,99.0
2018,,99.2
2018,Urban,99.4
2018,Rural,99.1
2019,,99.3
2019,Urban,100.0
2019,Rural,99.0
2020,,99.8
2020,Urban,100.0
2020,Rural,99.7
2021,,100.0
2021,Urban,100.0
2021,Rural,100.0
2022,,100.0
2022,Urban,100.0
2022,Rural,100.0
