Year,Area of residence,Value
2010,,
2010,Urban,
2010,Rural,
2011,,
2011,Urban,
2011,Rural,
2012,,
2012,Urban,
2012,Rural,
2013,,
2013,Urban,
2013,Rural,
2014,,100
2014,Urban,100
2014,Rural,100
2015,,100
2015,Urban,100
2015,Rural,100
2016,,100
2016,Urban,99.9
2016,Rural,100
2017,,100
2017,Urban,99.9
2017,Rural,100
2018,,100
2018,Urban,100
2018,Rural,100
2019,,100
2019,Urban,100
2019,Rural,100
2020,,100
2020,Urban,100
2020,Rural,100
2021,,100
2021,Urban,100
2021,Rural,100
2022,,
2022,Urban,
2022,Rural,
